Grand Prix,Driver,Car,Time,year,Code,Year
France,Juan Manuel  Fangio ,Maserati,2:41.100,1953.0,FAN,
Great Britain,Alberto  Ascari ,Ferrari,1:50.000,1953.0,ASC,
Germany,Alberto  Ascari ,Ferrari,9:56.000,1953.0,ASC,
Switzerland,Alberto  Ascari ,Ferrari,2:41.300,1953.0,ASC,
Italy,Juan Manuel  Fangio ,Maserati,2:04.500,1953.0,FAN,
Argentina,Jose Froilan  Gonzalez ,Ferrari,1:48.200,1954.0,GON,
Indianapolis 500,Jack  McGrath ,Kurtis Kraft Offenhauser,1:04.040,1954.0,MCG,
Belgium,Juan Manuel  Fangio ,Maserati,4:25.500,1954.0,FAN,
France,Hans Herrmann ,Mercedes-Benz,2:32.900,1954.0,HER,
Great Britain,Alberto  Ascari ,Maserati,1:50.000,1954.0,ASC,
Germany,Karl  Kling ,Mercedes-Benz,9:55.100,1954.0,KLI,
Switzerland,Juan Manuel  Fangio ,Mercedes-Benz,2:39.700,1954.0,FAN,
Italy,Jose Froilan  Gonzalez ,Ferrari,2:00.800,1954.0,GON,
Spain,Alberto  Ascari ,Lancia,2:20.400,1954.0,ASC,
Argentina,Juan Manuel  Fangio ,Mercedes-Benz,1:48.300,1955.0,FAN,
Monaco,Juan Manuel  Fangio ,Mercedes-Benz,1:42.400,1955.0,FAN,
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:03.670,1955.0,VUK,
Belgium,Juan Manuel  Fangio ,Mercedes-Benz,4:20.600,1955.0,FAN,
Netherlands,Roberto  Mieres ,Maserati,1:40.900,1955.0,MIE,
Great Britain,Stirling  Moss ,Mercedes-Benz,2:00.400,1955.0,MOS,
Italy,Stirling  Moss ,Mercedes-Benz,2:46.900,1955.0,MOS,
Argentina,Juan Manuel  Fangio ,Ferrari,1:45.300,1956.0,FAN,
Monaco,Juan Manuel  Fangio ,Ferrari,1:44.400,1956.0,FAN,
Indianapolis 500,Paul  Russo ,Kurtis Kraft Novi,1:02.320,1956.0,RUS,
Belgium,Stirling  Moss ,Maserati,4:14.700,1956.0,MOS,
France,Juan Manuel  Fangio ,Ferrari,2:25.800,1956.0,FAN,
Great Britain,Stirling  Moss ,Maserati,1:43.200,1956.0,MOS,
Germany,Juan Manuel  Fangio ,Ferrari,9:41.600,1956.0,FAN,
Italy,Stirling  Moss ,Maserati,2:45.500,1956.0,MOS,
Argentina,Stirling  Moss ,Maserati,1:44.700,1957.0,MOS,
Monaco,Juan Manuel  Fangio ,Maserati,1:45.600,1957.0,FAN,
Indianapolis 500,Jim  Rathmann ,Epperly Offenhauser,1:02.750,1957.0,RAT,
France,Luigi  Musso ,Ferrari,2:22.400,1957.0,MUS,
Great Britain,Stirling  Moss ,Vanwall,1:59.200,1957.0,MOS,
Germany,Juan Manuel  Fangio ,Maserati,9:17.400,1957.0,FAN,
Pescara,Stirling  Moss ,Vanwall,9:44.600,1957.0,MOS,
Italy,Tony  Brooks ,Vanwall,1:43.700,1957.0,BRO,
Argentina,Juan Manuel  Fangio ,Maserati,1:41.800,1958.0,FAN,
Monaco,Mike  Hawthorn ,Ferrari,1:40.600,1958.0,HAW,
Netherlands,Stirling  Moss ,Vanwall,1:37.600,1958.0,MOS,
Indianapolis 500,Tony Bettenhausen ,Epperly Offenhauser,1:02.370,1958.0,BET,
Belgium,Mike  Hawthorn ,Ferrari,3:58.300,1958.0,HAW,
France,Mike  Hawthorn ,Ferrari,2:24.900,1958.0,HAW,
Great Britain,Mike  Hawthorn ,Ferrari,1:40.800,1958.0,HAW,
Germany,Stirling  Moss ,Vanwall,9:09.200,1958.0,MOS,
Portugal,Mike  Hawthorn ,Ferrari,2:32.270,1958.0,HAW,
Italy,Phil  Hill ,Ferrari,1:42.900,1958.0,HIL,
Morocco,Stirling  Moss ,Vanwall,2:22.500,1958.0,MOS,
Monaco,Jack  Brabham ,Cooper Climax,1:40.400,1959.0,BRA,
Indianapolis 500,Johnny  Thomson ,Lesovsky Offenhauser,1:01.890,1959.0,THO,
Netherlands,Stirling  Moss ,Cooper Climax,1:36.700,1959.0,MOS,
France,Stirling  Moss ,BRM,2:22.800,1959.0,MOS,
Great Britain,Stirling  Moss ,BRM,1:57.000,1959.0,MOS,
Germany,Tony  Brooks ,Ferrari,2:04.500,1959.0,BRO,
Portugal,Stirling  Moss ,Cooper Climax,2:05.070,1959.0,MOS,
Italy,Phil  Hill ,Ferrari,1:40.400,1959.0,HIL,
United States,Maurice Trintignant ,Cooper Climax,3:05.000,1959.0,TRI,
Argentina,Stirling  Moss ,Cooper Climax,1:38.900,1960.0,MOS,
Monaco,Bruce  McLaren ,Lotus Climax,1:36.200,1960.0,MCL,
Indianapolis 500,Jim  Rathmann ,Watson Offenhauser,1:01.590,1960.0,RAT,
Netherlands,Stirling  Moss ,Lotus Climax,1:33.800,1960.0,MOS,
Belgium,Phil  Hill ,Ferrari,3:51.900,1960.0,HIL,
France,Jack  Brabham ,Cooper Climax,2:17.500,1960.0,BRA,
Great Britain,Graham  Hill ,BRM,1:34.400,1960.0,HIL,
Portugal,John  Surtees ,Lotus Climax,2:27.530,1960.0,SUR,
Italy,Phil  Hill ,Ferrari,2:43.600,1960.0,HIL,
United States,Jack  Brabham ,Cooper Climax,1:56.300,1960.0,BRA,
Monaco,Richie  Ginther ,Ferrari,1:36.300,1961.0,GIN,
Netherlands,Jim  Clark ,Lotus Climax,1:35.500,1961.0,CLA,
Belgium,Richie  Ginther ,Ferrari,3:59.800,1961.0,GIN,
France,Phil  Hill ,Ferrari,2:27.100,1961.0,HIL,
Great Britain,Tony  Brooks ,BRM Climax,1:57.800,1961.0,BRO,
Germany,Phil  Hill ,Ferrari,8:57.800,1961.0,HIL,
Italy,Giancarlo  Baghetti ,Ferrari,2:48.400,1961.0,BAG,
United States,Jack  Brabham ,Cooper Climax,1:18.200,1961.0,BRA,
Netherlands,Bruce  McLaren ,Cooper Climax,1:34.400,1962.0,MCL,
Monaco,Jim  Clark ,Lotus Climax,1:35.500,1962.0,CLA,
Belgium,Jim  Clark ,Lotus Climax,3:55.600,1962.0,CLA,
France,Graham  Hill ,BRM,2:16.900,1962.0,HIL,
Great Britain,Jim  Clark ,Lotus Climax,1:55.000,1962.0,CLA,
Germany,Graham  Hill ,BRM,10:12.200,1962.0,HIL,
Italy,Graham  Hill ,BRM,1:42.300,1962.0,HIL,
United States,Jim  Clark ,Lotus Climax,1:15.000,1962.0,CLA,
South Africa,Jim  Clark ,Lotus Climax,1:31.000,1962.0,CLA,
Monaco,John  Surtees ,Ferrari,1:34.500,1963.0,SUR,
Belgium,Jim  Clark ,Lotus Climax,3:58.100,1963.0,CLA,
Netherlands,Jim  Clark ,Lotus Climax,1:33.700,1963.0,CLA,
France,Jim  Clark ,Lotus Climax,2:21.600,1963.0,CLA,
Great Britain,John  Surtees ,Ferrari,1:36.000,1963.0,SUR,
Germany,John  Surtees ,Ferrari,8:47.000,1963.0,SUR,
Italy,Jim  Clark ,Lotus Climax,1:38.900,1963.0,CLA,
United States,Jim  Clark ,Lotus Climax,1:14.500,1963.0,CLA,
Mexico,Jim  Clark ,Lotus Climax,1:58.100,1963.0,CLA,
South Africa,Dan  Gurney ,Brabham Climax,1:29.100,1963.0,GUR,
Monaco,Graham  Hill ,BRM,1:33.900,1964.0,HIL,
Netherlands,Jim  Clark ,Lotus Climax,1:32.800,1964.0,CLA,
Belgium,Dan  Gurney ,Brabham Ford,3:49.200,1964.0,GUR,
France,Jack  Brabham ,Brabham Ford,2:11.400,1964.0,BRA,
Great Britain,Jim  Clark ,Lotus Climax,1:38.800,1964.0,CLA,
Germany,John  Surtees ,Ferrari,8:39.000,1964.0,SUR,
Austria,Dan  Gurney ,Brabham Ford,1:10.560,1964.0,GUR,
Italy,John  Surtees ,Ferrari,1:38.800,1964.0,SUR,
United States,Jim  Clark ,Lotus Climax,1:12.700,1964.0,CLA,
Mexico,Jim  Clark ,Lotus Climax,1:58.370,1964.0,CLA,
South Africa,Jim  Clark ,Lotus Climax,1:27.600,1965.0,CLA,
Monaco,Graham  Hill ,BRM,1:31.700,1965.0,HIL,
Belgium,Jim  Clark ,Lotus Climax,4:12.900,1965.0,CLA,
France,Jim  Clark ,Lotus Climax,3:18.900,1965.0,CLA,
Great Britain,Graham  Hill ,BRM,1:32.200,1965.0,HIL,
Netherlands,Jim  Clark ,Lotus Climax,1:30.600,1965.0,CLA,
Germany,Jim  Clark ,Lotus Climax,8:24.100,1965.0,CLA,
Italy,Jim  Clark ,Lotus Climax,1:36.400,1965.0,CLA,
United States,Graham  Hill ,BRM,1:11.900,1965.0,HIL,
Mexico,Dan  Gurney ,Brabham Climax,1:55.840,1965.0,GUR,
Monaco,Lorenzo  Bandini ,Ferrari,1:29.800,1966.0,BAN,
Belgium,John  Surtees ,Ferrari,4:18.700,1966.0,SUR,
France,Lorenzo  Bandini ,Ferrari,2:11.300,1966.0,BAN,
Great Britain,Jack  Brabham ,Brabham Climax,1:37.000,1966.0,BRA,
Netherlands,Denny  Hulme ,Brabham Climax,1:30.600,1966.0,HUL,
Germany,John  Surtees ,Cooper Maserati,8:49.000,1966.0,SUR,
Italy,Ludovico  Scarfiotti ,Ferrari,1:32.400,1966.0,SCA,
United States,John  Surtees ,Cooper Maserati,1:09.670,1966.0,SUR,
Mexico,Richie  Ginther ,Honda,1:53.750,1966.0,GIN,
South Africa,Denny  Hulme ,Brabham Repco,1:29.900,1967.0,HUL,
Monaco,Jim  Clark ,Lotus Climax,1:29.500,1967.0,CLA,
Netherlands,Jim  Clark ,Lotus Climax,1:28.080,1967.0,CLA,
Belgium,Dan  Gurney ,Eagle Climax,3:31.900,1967.0,GUR,
France,Graham  Hill ,Lotus Climax,1:36.700,1967.0,HIL,
Great Britain,Denny  Hulme ,Brabham Repco,1:27.000,1967.0,HUL,
Germany,Dan  Gurney ,Eagle Climax,8:15.100,1967.0,GUR,
Canada,Jim  Clark ,Lotus Climax,1:23.100,1967.0,CLA,
Italy,Jim  Clark ,Lotus Climax,1:28.500,1967.0,CLA,
United States,Graham  Hill ,Lotus Climax,1:06.000,1967.0,HIL,
Mexico,Jim  Clark ,Lotus Climax,1:48.130,1967.0,CLA,
South Africa,Jim  Clark ,Lotus Ford,1:23.700,1968.0,CLA,
Spain,Jean-Pierre  Beltoise ,Matra Ford,1:28.300,1968.0,BEL,
Monaco,Richard  Attwood ,BRM,1:28.100,1968.0,ATT,
Belgium,John  Surtees ,Honda,3:30.500,1968.0,SUR,
Netherlands,Jean-Pierre  Beltoise ,Matra Ford,1:45.910,1968.0,BEL,
France,Pedro  Rodriguez ,BRM,2:11.500,1968.0,ROD,
Great Britain,Jo  Siffert ,Lotus Ford,1:29.700,1968.0,SIF,
Germany,Jackie  Stewart ,Matra Ford,9:36.000,1968.0,STE,
Italy,Jackie  Oliver ,Lotus Ford,1:26.500,1968.0,OLI,
Canada,Jo  Siffert ,Lotus Ford,1:35.100,1968.0,SIF,
United States,Jackie  Stewart ,Matra Ford,1:05.220,1968.0,STE,
Mexico,Jo  Siffert ,Lotus Ford,1:44.230,1968.0,SIF,
South Africa,Jackie  Stewart ,Matra Ford,1:21.600,1969.0,STE,
Spain,Jochen  Rindt ,Lotus Ford,1:28.300,1969.0,RIN,
Monaco,Jackie  Stewart ,Matra Ford,1:25.100,1969.0,STE,
Netherlands,Jackie  Stewart ,Matra Ford,1:22.940,1969.0,STE,
France,Jackie  Stewart ,Matra Ford,3:02.700,1969.0,STE,
Great Britain,Jackie  Stewart ,Matra Ford,1:21.300,1969.0,STE,
Germany,Jacky  Ickx ,Brabham Climax,7:43.800,1969.0,ICK,
Italy,Jean-Pierre  Beltoise ,Matra Ford,1:25.200,1969.0,BEL,
Canada,Jacky  Ickx ,Brabham Climax,1:18.100,1969.0,ICK,
United States,Jochen  Rindt ,Lotus Ford,1:04.340,1969.0,RIN,
Mexico,Jacky  Ickx ,Brabham Climax,1:43.050,1969.0,ICK,
South Africa,John  Surtees ,McLaren Ford,1:20.800,1970.0,SUR,
Spain,Jack  Brabham ,Brabham Ford,1:24.300,1970.0,BRA,
Monaco,Jochen  Rindt ,Lotus Ford,1:23.200,1970.0,RIN,
Belgium,Chris  Amon ,March Ford,3:27.400,1970.0,AMO,
Netherlands,Jacky  Ickx ,Ferrari,1:19.230,1970.0,ICK,
France,Jack  Brabham ,Brabham Ford,3:00.750,1970.0,BRA,
Great Britain,Jack  Brabham ,Brabham Ford,1:25.900,1970.0,BRA,
Germany,Jacky  Ickx ,Ferrari,2:00.500,1970.0,ICK,
Austria,Jacky  Ickx ,Ferrari,1:40.400,1970.0,ICK,
Italy,Clay  Regazzoni ,Ferrari,1:25.200,1970.0,REG,
Canada,Clay  Regazzoni ,Ferrari,1:32.200,1970.0,REG,
United States,Jacky  Ickx ,Ferrari,1:02.740,1970.0,ICK,
Mexico,Jacky  Ickx ,Ferrari,1:43.110,1970.0,ICK,
South Africa,Mario  Andretti ,Ferrari,1:20.300,1971.0,AND,
Spain,Jacky  Ickx ,Ferrari,1:25.100,1971.0,ICK,
Monaco,Jackie  Stewart ,Tyrrell Ford,1:22.200,1971.0,STE,
Netherlands,Jacky  Ickx ,Ferrari,1:34.950,1971.0,ICK,
France,Jackie  Stewart ,Tyrrell Ford,1:54.090,1971.0,STE,
Great Britain,Jackie  Stewart ,Tyrrell Ford,1:19.900,1971.0,STE,
Germany,Francois Cevert,Tyrrell Ford,7:20.100,1971.0,CEV,
Austria,Jo  Siffert ,BRM,1:38.470,1971.0,SIF,
Italy,Henri  Pescarolo ,March Ford,1:23.800,1971.0,PES,
Canada,Denny  Hulme ,McLaren Ford,1:43.500,1971.0,HUL,
United States,Jacky  Ickx ,Ferrari,1:43.474,1971.0,ICK,
Argentina,Jackie  Stewart ,Tyrrell Ford,1:13.660,1972.0,STE,
South Africa,Mike  Hailwood ,Surtees Ford,1:18.900,1972.0,HAI,
Spain,Jacky  Ickx ,Ferrari,1:21.010,1972.0,ICK,
Monaco,Jean-Pierre  Beltoise ,BRM,1:40.000,1972.0,BEL,
Belgium,Chris  Amon ,Matra,1:12.120,1972.0,AMO,
France,Chris  Amon ,Matra,2:53.900,1972.0,AMO,
Great Britain,Jackie  Stewart ,Tyrrell Ford,1:24.000,1972.0,STE,
Germany,Jacky  Ickx ,Ferrari,7:13.600,1972.0,ICK,
Austria,Denny  Hulme ,McLaren Ford,1:38.320,1972.0,HUL,
Italy,Jacky  Ickx ,Ferrari,1:36.300,1972.0,ICK,
Canada,Jackie  Stewart ,Tyrrell Ford,1:15.700,1972.0,STE,
United States,Jackie  Stewart ,Tyrrell Ford,1:41.644,1972.0,STE,
Argentina,Emerson  Fittipaldi ,Lotus Ford,1:11.220,1973.0,FIT,
Brazil,Emerson  Fittipaldi ,Lotus Ford,2:35.000,1973.0,FIT,
South Africa,Emerson  Fittipaldi ,Lotus Ford,1:17.100,1973.0,FIT,
Spain,Ronnie  Peterson ,Lotus Ford,1:23.800,1973.0,PET,
Belgium,Francois Cevert,Tyrrell Ford,1:25.420,1973.0,CEV,
Monaco,Emerson  Fittipaldi ,Lotus Ford,1:28.100,1973.0,FIT,
Sweden,Denny  Hulme ,McLaren Ford,1:26.146,1973.0,HUL,
France,Denny  Hulme ,McLaren Ford,1:50.990,1973.0,HUL,
Great Britain,James  Hunt ,March Ford,1:18.600,1973.0,HUN,
Netherlands,Ronnie  Peterson ,Lotus Ford,1:20.310,1973.0,PET,
Germany,Carlos  Pace ,Surtees Ford,7:11.400,1973.0,PAC,
Austria,Carlos  Pace ,Surtees Ford,1:37.290,1973.0,PAC,
Italy,Jackie  Stewart ,Tyrrell Ford,1:35.300,1973.0,STE,
Canada,Emerson  Fittipaldi ,Lotus Ford,1:15.496,1973.0,FIT,
United States,James  Hunt ,March Ford,1:41.652,1973.0,HUN,
Argentina,Clay  Regazzoni ,Ferrari,1:52.100,1974.0,REG,
Brazil,Clay  Regazzoni ,Ferrari,2:36.050,1974.0,REG,
South Africa,Carlos  Reutemann ,Brabham Ford,1:18.160,1974.0,REU,
Spain,Niki  Lauda ,Ferrari,1:20.830,1974.0,LAU,
Belgium,Denny  Hulme ,McLaren Ford,1:11.310,1974.0,HUL,
Monaco,Ronnie  Peterson ,Lotus Ford,1:27.900,1974.0,PET,
Sweden,Patrick  Depailler ,Tyrrell Ford,1:27.262,1974.0,DEP,
Netherlands,Ronnie  Peterson ,Lotus Ford,1:21.440,1974.0,PET,
France,Jody  Scheckter ,Tyrrell Ford,1:00.000,1974.0,SCH,
Great Britain,Niki  Lauda ,Ferrari,1:21.100,1974.0,LAU,
Germany,Jody  Scheckter ,Tyrrell Ford,7:11.100,1974.0,SCH,
Austria,Clay  Regazzoni ,Ferrari,1:37.220,1974.0,REG,
Italy,Carlos  Pace ,Brabham Ford,1:34.200,1974.0,PAC,
Canada,Niki  Lauda ,Ferrari,1:13.659,1974.0,LAU,
United States,Carlos  Pace ,Brabham Ford,1:40.608,1974.0,PAC,
Argentina,James  Hunt ,Hesketh Ford,1:50.910,1975.0,HUN,
Brazil,Jean-Pierre  Jarier ,Shadow Matra,2:34.160,1975.0,JAR,
South Africa,Carlos  Pace ,Brabham Ford,1:17.200,1975.0,PAC,
Spain,Mario  Andretti ,Parnelli Ford,1:25.100,1975.0,AND,
Monaco,Patrick  Depailler ,Tyrrell Ford,1:28.670,1975.0,DEP,
Belgium,Clay  Regazzoni ,Ferrari,1:26.760,1975.0,REG,
Sweden,Niki  Lauda ,Ferrari,1:28.267,1975.0,LAU,
Netherlands,Niki  Lauda ,Ferrari,1:21.540,1975.0,LAU,
France,Jochen  Mass ,McLaren Ford,1:50.600,1975.0,MAS,
Great Britain,Clay  Regazzoni ,Ferrari,1:20.900,1975.0,REG,
Germany,Clay  Regazzoni ,Ferrari,7:06.400,1975.0,REG,
Austria,Vittorio  Brambilla ,March Ford,1:53.900,1975.0,BRA,
Italy,Clay  Regazzoni ,Ferrari,1:33.100,1975.0,REG,
United States,Emerson  Fittipaldi ,McLaren Ford,1:43.374,1975.0,FIT,
Brazil,Jean-Pierre  Jarier ,Shadow Ford,2:35.070,1976.0,JAR,
South Africa,Niki  Lauda ,Ferrari,1:17.970,1976.0,LAU,
USA West,Clay  Regazzoni ,Ferrari,1:23.076,1976.0,REG,
Spain,Jochen  Mass ,McLaren Ford,1:20.930,1976.0,MAS,
Belgium,Niki  Lauda ,Ferrari,1:25.980,1976.0,LAU,
Monaco,Clay  Regazzoni ,Ferrari,1:30.280,1976.0,REG,
Sweden,Mario  Andretti ,Lotus Ford,1:28.002,1976.0,AND,
France,Niki  Lauda ,Ferrari,1:51.000,1976.0,LAU,
Great Britain,Niki  Lauda ,Ferrari,1:19.910,1976.0,LAU,
Germany,Jody  Scheckter ,Tyrrell Ford,7:10.800,1976.0,SCH,
Austria,James  Hunt ,McLaren Ford,1:35.910,1976.0,HUN,
Netherlands,Clay  Regazzoni ,Ferrari,1:22.590,1976.0,REG,
Italy,Ronnie  Peterson ,March Ford,1:41.300,1976.0,PET,
Canada,Patrick  Depailler ,Tyrrell Ford,1:13.817,1976.0,DEP,
USA East,James  Hunt ,McLaren Ford,1:42.851,1976.0,HUN,
Japan,Jacques  Laffite ,Ligier Matra,1:19.970,1976.0,LAF,
Argentina,James  Hunt ,McLaren Ford,1:51.060,1977.0,HUN,
Brazil,James  Hunt ,McLaren Ford,2:34.550,1977.0,HUN,
South Africa,John  Watson ,Brabham Alfa Romeo,1:17.630,1977.0,WAT,
USA West,Niki  Lauda ,Ferrari,1:22.753,1977.0,LAU,
Spain,Jacques  Laffite ,Ligier Matra,1:20.810,1977.0,LAF,
Monaco,Jody  Scheckter ,Wolf Ford,1:31.070,1977.0,SCH,
Belgium,Gunnar  Nilsson ,Lotus Ford,1:27.540,1977.0,NIL,
Sweden,Mario  Andretti ,Lotus Ford,1:27.607,1977.0,AND,
France,Mario  Andretti ,Lotus Ford,1:13.750,1977.0,AND,
Great Britain,James  Hunt ,McLaren Ford,1:19.600,1977.0,HUN,
Germany,Niki  Lauda ,Ferrari,1:55.990,1977.0,LAU,
Austria,John  Watson ,Brabham Alfa Romeo,1:40.960,1977.0,WAT,
Netherlands,Niki  Lauda ,Ferrari,1:19.990,1977.0,LAU,
Italy,Mario  Andretti ,Lotus Ford,1:39.100,1977.0,AND,
USA East,Ronnie  Peterson ,Tyrrell Ford,1:51.854,1977.0,PET,
Canada,Mario  Andretti ,Lotus Ford,1:13.299,1977.0,AND,
Japan,Jody  Scheckter ,Wolf Ford,1:14.300,1977.0,SCH,
Argentina,Gilles  Villeneuve ,Ferrari,1:49.760,1978.0,VIL,
Brazil,Carlos  Reutemann ,Ferrari,1:43.070,1978.0,REU,
South Africa,Mario  Andretti ,Lotus Ford,1:17.090,1978.0,AND,
USA West,Alan Jones ,Williams Ford,1:22.215,1978.0,JON,
Monaco,Niki  Lauda ,Brabham Alfa Romeo,1:28.650,1978.0,LAU,
Belgium,Ronnie  Peterson ,Lotus Ford,1:23.130,1978.0,PET,
Spain,Mario  Andretti ,Lotus Ford,1:20.060,1978.0,AND,
Sweden,Niki  Lauda ,Brabham Alfa Romeo,1:24.836,1978.0,LAU,
France,Carlos  Reutemann ,Ferrari,1:48.560,1978.0,REU,
Great Britain,Niki  Lauda ,Brabham Alfa Romeo,1:18.600,1978.0,LAU,
Germany,Ronnie  Peterson ,Lotus Ford,1:55.620,1978.0,PET,
Austria,Ronnie  Peterson ,Lotus Ford,1:43.120,1978.0,PET,
Netherlands,Niki  Lauda ,Brabham Alfa Romeo,1:19.570,1978.0,LAU,
Italy,Mario  Andretti ,Lotus Ford,1:38.230,1978.0,AND,
USA East,Jean-Pierre  Jarier ,Lotus Ford,1:39.557,1978.0,JAR,
Canada,Alan Jones ,Williams Ford,1:38.072,1978.0,JON,
Argentina,Jacques  Laffite ,Ligier Ford,1:46.910,1979.0,LAF,
Brazil,Jacques  Laffite ,Ligier Ford,2:28.760,1979.0,LAF,
South Africa,Gilles  Villeneuve ,Ferrari,1:14.412,1979.0,VIL,
USA West,Gilles  Villeneuve ,Ferrari,1:21.200,1979.0,VIL,
Spain,Gilles  Villeneuve ,Ferrari,1:16.440,1979.0,VIL,
Belgium,Gilles  Villeneuve ,Ferrari,1:23.090,1979.0,VIL,
Monaco,Patrick  Depailler ,Ligier Ford,1:28.820,1979.0,DEP,
France,Rene  Arnoux ,Renault,1:09.160,1979.0,ARN,
Great Britain,Clay  Regazzoni ,Williams Ford,1:14.400,1979.0,REG,
Germany,Gilles  Villeneuve ,Ferrari,1:51.890,1979.0,VIL,
Austria,Rene  Arnoux ,Renault,1:35.770,1979.0,ARN,
Netherlands,Gilles  Villeneuve ,Ferrari,1:19.438,1979.0,VIL,
Italy,Clay  Regazzoni ,Williams Ford,1:35.600,1979.0,REG,
Canada,Alan Jones ,Williams Ford,1:31.272,1979.0,JON,
USA East,Nelson  Piquet ,Brabham Ford,1:40.054,1979.0,PIQ,
Argentina,Alan Jones ,Williams Ford,1:50.450,1980.0,JON,
Brazil,Rene  Arnoux ,Renault,2:27.310,1980.0,ARN,
South Africa,Rene  Arnoux ,Renault,1:13.150,1980.0,ARN,
USA West,Nelson  Piquet ,Brabham Ford,1:19.830,1980.0,PIQ,
Belgium,Jacques  Laffite ,Ligier Ford,1:20.880,1980.0,LAF,
Monaco,Carlos  Reutemann ,Williams Ford,1:27.418,1980.0,REU,
France,Alan Jones ,Williams Ford,1:41.450,1980.0,JON,
Great Britain,Didier  Pironi ,Ligier Ford,1:12.368,1980.0,PIR,
Germany,Alan Jones ,Williams Ford,1:48.490,1980.0,JON,
Austria,Rene  Arnoux ,Renault,1:32.530,1980.0,ARN,
Netherlands,Rene  Arnoux ,Renault,1:19.350,1980.0,ARN,
Italy,Alan Jones ,Williams Ford,1:36.089,1980.0,JON,
Canada,Didier  Pironi ,Ligier Ford,1:28.769,1980.0,PIR,
USA East,Alan Jones ,Williams Ford,1:34.068,1980.0,JON,
USA West,Alan Jones ,Williams Ford,1:20.901,1981.0,JON,
Brazil,Marc  Surer ,Ensign Ford,1:54.302,1981.0,SUR,
Argentina,Nelson  Piquet ,Brabham Ford,1:45.287,1981.0,PIQ,
San Marino,Gilles  Villeneuve ,Ferrari,1:48.064,1981.0,VIL,
Belgium,Carlos  Reutemann ,Williams Ford,1:23.300,1981.0,REU,
Monaco,Alan Jones ,Williams Ford,1:27.470,1981.0,JON,
Spain,Alan Jones ,Williams Ford,1:17.818,1981.0,JON,
France,Alain  Prost ,Renault,1:09.140,1981.0,PRO,
Great Britain,Rene  Arnoux ,Renault,1:15.067,1981.0,ARN,
Germany,Alan Jones ,Williams Ford,1:52.420,1981.0,JON,
Austria,Jacques  Laffite ,Ligier Matra,1:37.620,1981.0,LAF,
Netherlands,Alan Jones ,Williams Ford,1:21.830,1981.0,JON,
Italy,Carlos  Reutemann ,Williams Ford,1:37.528,1981.0,REU,
Canada,John  Watson ,McLaren Ford,1:49.475,1981.0,WAT,
Caesar's Palace,Didier  Pironi ,Ferrari,1:20.156,1981.0,PIR,
South Africa,Alain  Prost ,Renault,1:08.278,1982.0,PRO,
Brazil,Alain  Prost ,Renault,1:37.016,1982.0,PRO,
USA West,Niki  Lauda ,McLaren Ford,1:30.831,1982.0,LAU,
San Marino,Didier  Pironi ,Ferrari,1:35.036,1982.0,PIR,
Belgium,John  Watson ,McLaren Ford,1:20.214,1982.0,WAT,
Monaco,Riccardo  Patrese ,Brabham Ford,1:26.354,1982.0,PAT,
